2363,矽統,1.1046708810533323
2883,凱基金,0.6974192160999373
4772,台特化,0.6278647071057909
5871,中租-KY,0.3631228060006207
6669,緯穎,0.3282694739554563
5269,祥碩,0.29931140472116957
3231,緯創,0.2882838599102714
3706,神達,0.2797458102008801
3035,智原,0.21585123015196514
2891,中信金,0.20809545320334072
6781,AES-KY,0.1467990397096547
6446,藥華藥,0.1199480633900814
2382,廣達,0.10635677832458604
2357,華碩,0.10165603822421904
2881,富邦金,0.0865971043541946
2376,技嘉,0.07876054798591899
8069,元太,0.0762342826895854
2377,微星,0.07442327554752111
3293,鈊象,0.07334115873181336
6643,M31,0.06467965778743377
6191,精成科,0.05059071036036225
3013,晟銘電,0.0471454324255118
2329,華泰,0.042514393452304865
2395,研華,0.03657523247203681
2882,國泰金,0.023498985610145476
2317,鴻海,0.012044585031807492
3019,亞光,0.007599753384925802
2887,台新新光金,0.0055346578331867905
3680,家登,0.0031790243505789434
2474,可成,-0.0027121559708456373
3211,順達,-0.022721823210333652
1519,華城,-0.024011897012697934
2441,超豐,-0.02433496209449071
8111,立碁,-0.025722201415124445
6197,佳必琪,-0.027729469921002944
6163,華電網,-0.02809779004120875
3289,宜特,-0.032186527294237634
2436,偉詮電,-0.0323252504609687
2476,鉅祥,-0.03504219241025874
2316,楠梓電,-0.038092805589078606
4931,新盛力,-0.0381886166531822
3036,文曄,-0.04353628365296949
6548,長科*,-0.044341294608393346
3163,波若威,-0.04497496967204961
2404,漢唐,-0.04778108603307484
3481,群創,-0.04940059894462586
5340,建榮,-0.058882289320527026
2301,光寶科,-0.06233235420775866
6139,亞翔,-0.06472146264317856
6510,精測,-0.06797459181474395
1815,富喬,-0.07250313745728693
8096,擎亞,-0.08016773987225986
4768,晶呈科技,-0.08928040512575107
3324,雙鴻,-0.09306587001487612
5536,聖暉*,-0.0983107549787687
3131,弘塑,-0.13748154634908802
5284,JPP-KY,-0.14838770145421076
3563,牧德,-0.1552996943651983
8210,勤誠,-0.17125547009562989
6442,光聖,-0.1928118540018398
5439,高技,-0.19870386767638704
2059,川湖,-0.21037513514434783
2408,南亞科,-0.21562396500973496
8271,宇瞻,-0.34535992206762356
